SOURCE,TARGET,LINE,SOURCEID,TARGETID,SOURCELAT,SOURCELON
Edinburgh,North Queensferry,A,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009725,55.95,-3.198888889
North Queensferry,Inverkeithing,A,https://www.wikidata.org/wiki/Q1009725,https://www.wikidata.org/wiki/Q1010422,56.0111,-3.39444
Inverkeithing,Kinross,A,https://www.wikidata.org/wiki/Q1010422,https://www.wikidata.org/wiki/Q781885,56.03333333,-3.383333333
Kinross,Perth,A,https://www.wikidata.org/wiki/Q781885,https://www.wikidata.org/wiki/Q203000,56.2,-3.42
Perth,Dundee,A,https://www.wikidata.org/wiki/Q203000,https://www.wikidata.org/wiki/Q123709,56.39527778,-3.431666667
Dundee,Arbroath,A,https://www.wikidata.org/wiki/Q123709,https://www.wikidata.org/wiki/Q630668,56.464,-2.97
Arbroath,Montrose,A,https://www.wikidata.org/wiki/Q630668,https://www.wikidata.org/wiki/Q420303,56.56138611,-2.585705556
Montrose,Stonehaven,A,https://www.wikidata.org/wiki/Q420303,https://www.wikidata.org/wiki/Q1002177,56.70805556,-2.605833333
Stonehaven,Aberdeen,A,https://www.wikidata.org/wiki/Q1002177,https://www.wikidata.org/wiki/Q36405,56.96,-2.21
Aberdeen,Aberdeen,A,https://www.wikidata.org/wiki/Q36405,NA,57.15,-2.1
Edinburgh,Linlithgow,B,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016911,55.95,-3.198888889
Linlithgow,Bo'ness,B,https://www.wikidata.org/wiki/Q1016911,https://www.wikidata.org/wiki/Q896424,55.97527778,-3.610555556
Bo'ness,Falkirk,B,https://www.wikidata.org/wiki/Q896424,https://www.wikidata.org/wiki/Q216802,56.01681111,-3.608911111
Falkirk,Kilsyth,B,https://www.wikidata.org/wiki/Q216802,https://www.wikidata.org/wiki/Q1010328,56.001,-3.784
Kilsyth,Kirkintilloch,B,https://www.wikidata.org/wiki/Q1010328,https://www.wikidata.org/wiki/Q2422689,55.98,-4.06
Kirkintilloch,Glasgow,B,https://www.wikidata.org/wiki/Q2422689,https://www.wikidata.org/wiki/Q4093,55.93583333,-4.154722222
Glasgow,Glasgow,B,https://www.wikidata.org/wiki/Q4093,NA,55.87,-4.27
Glasgow,Paisley,C,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q211870,55.87,-4.27
Paisley,Renfrew,C,https://www.wikidata.org/wiki/Q211870,https://www.wikidata.org/wiki/Q615693,55.85,-4.433333333
Renfrew,Port Glasgow,C,https://www.wikidata.org/wiki/Q615693,https://www.wikidata.org/wiki/Q1786145,55.86666667,-4.366666667
Port Glasgow,Greenock,C,https://www.wikidata.org/wiki/Q1786145,https://www.wikidata.org/wiki/Q217831,55.94,-4.69
Greenock,Greenock,C,https://www.wikidata.org/wiki/Q217831,NA,55.95,-4.766666667
Glasgow,Dumbarton,D,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q34779,55.87,-4.27
Dumbarton,Inveraray Castle,D,https://www.wikidata.org/wiki/Q34779,https://www.wikidata.org/wiki/Q1671720,55.94861111,-4.547222222
Inveraray Castle,Inveraray Castle,D,https://www.wikidata.org/wiki/Q1671720,NA,56.2375,-5.073333333
Glasgow,Kilmarnock,E,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q576562,55.87,-4.27
Kilmarnock,Stewarton,E,https://www.wikidata.org/wiki/Q576562,https://www.wikidata.org/wiki/Q7616000,55.61166667,-4.494444444
Stewarton,Irvine,E,https://www.wikidata.org/wiki/Q7616000,https://www.wikidata.org/wiki/Q1774629,55.415,-5.64222
Kilmarnock,Ayr,E,https://www.wikidata.org/wiki/Q576562,https://www.wikidata.org/wiki/Q654216,55.61166667,-4.494444444
Ayr,Maybole,E,https://www.wikidata.org/wiki/Q654216,https://www.wikidata.org/wiki/Q603616,55.46388889,-4.627777778
Maybole,Girvan,E,https://www.wikidata.org/wiki/Q603616,https://www.wikidata.org/wiki/Q1011787,55.3545,-4.68149
Girvan,Ballantrae,E,https://www.wikidata.org/wiki/Q1011787,https://www.wikidata.org/wiki/Q3997904,55.2382,-4.85614
Ballantrae,Ballantrae,E,https://www.wikidata.org/wiki/Q3997904,NA,55.1003,-5.00472
Glasgow,Hamilton,F,https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q4131,55.87,-4.27
Hamilton,Douglas,F,https://www.wikidata.org/wiki/Q4131,https://www.wikidata.org/wiki/Q5301155,55.78,-4.068055556
Douglas,Douglas,F,https://www.wikidata.org/wiki/Q5301155,NA,55.55,-3.85
Edinburgh,Dunfermline,G,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q211950,55.95,-3.198888889
Dunfermline,Culross,G,https://www.wikidata.org/wiki/Q211950,https://www.wikidata.org/wiki/Q2424554,56.07138889,-3.461666667
Culross,Kincardine,G,https://www.wikidata.org/wiki/Q2424554,https://www.wikidata.org/wiki/Q1011221,56.0554,-3.6293
Kincardine,Alloa,G,https://www.wikidata.org/wiki/Q1011221,https://www.wikidata.org/wiki/Q1009331,56.069,-3.719
Alloa,Stirling,G,https://www.wikidata.org/wiki/Q1009331,https://www.wikidata.org/wiki/Q182923,56.11666667,-3.8
Stirling,Stirling,G,https://www.wikidata.org/wiki/Q182923,NA,56.11944444,-3.935833333
Edinburgh,Dunfermline,H,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q211950,55.95,-3.198888889
Dunfermline,Aberdour,H,https://www.wikidata.org/wiki/Q211950,https://www.wikidata.org/wiki/Q2014221,56.07138889,-3.461666667
Aberdour,Burntisland,H,https://www.wikidata.org/wiki/Q2014221,https://www.wikidata.org/wiki/Q1011521,56.0528,-3.3021
Burntisland,Kinghorn,H,https://www.wikidata.org/wiki/Q1011521,https://www.wikidata.org/wiki/Q1010266,56.05,-3.233333333
Kinghorn,Kirkcaldy,H,https://www.wikidata.org/wiki/Q1010266,https://www.wikidata.org/wiki/Q691685,56.07,-3.17
Kirkcaldy,Dysart,H,https://www.wikidata.org/wiki/Q691685,https://www.wikidata.org/wiki/Q2631587,56.11073056,-3.167369444
Dysart,Leven,H,https://www.wikidata.org/wiki/Q2631587,https://www.wikidata.org/wiki/Q672948,56.13,-3.11
Leven,Colinsburgh,H,https://www.wikidata.org/wiki/Q672948,https://www.wikidata.org/wiki/Q5145730,56.195,-2.99417
Colinsburgh,Pittenweem,H,https://www.wikidata.org/wiki/Q5145730,https://www.wikidata.org/wiki/Q1011685,56.2206,-2.8463
Pittenweem,Anstruther,H,https://www.wikidata.org/wiki/Q1011685,https://www.wikidata.org/wiki/Q570401,56.21305556,-2.728611111
Anstruther,Crail,H,https://www.wikidata.org/wiki/Q570401,https://www.wikidata.org/wiki/Q1010416,56.2234,-2.70274
Crail,St Andrews,H,https://www.wikidata.org/wiki/Q1010416,https://www.wikidata.org/wiki/Q207736,56.2608,-2.6263
St Andrews,St Andrews,H,https://www.wikidata.org/wiki/Q207736,NA,56.33888889,-2.798888889
Dunfermline,Kinross,I,https://www.wikidata.org/wiki/Q211950,https://www.wikidata.org/wiki/Q781885,56.07138889,-3.461666667
Kinross,Falkland,I,https://www.wikidata.org/wiki/Q781885,https://www.wikidata.org/wiki/Q1012069,56.2,-3.42
Falkland,Cupar,I,https://www.wikidata.org/wiki/Q1012069,https://www.wikidata.org/wiki/Q1012047,56.25,-3.2
Cupar,St Andrews,I,https://www.wikidata.org/wiki/Q1012047,https://www.wikidata.org/wiki/Q207736,56.3194,-3.01155
St Andrews,St Andrews,I,https://www.wikidata.org/wiki/Q207736,NA,56.33888889,-2.798888889
Dunfermline,Culross,J,https://www.wikidata.org/wiki/Q211950,https://www.wikidata.org/wiki/Q2424554,56.07138889,-3.461666667
Culross,Kincardine,J,https://www.wikidata.org/wiki/Q2424554,https://www.wikidata.org/wiki/Q1011221,56.0554,-3.6293
Kincardine,Stirling,J,https://www.wikidata.org/wiki/Q1011221,https://www.wikidata.org/wiki/Q182923,56.069,-3.719
Stirling,Stirling,J,https://www.wikidata.org/wiki/Q182923,NA,56.11944444,-3.935833333
Perth,Dunkeld,K,https://www.wikidata.org/wiki/Q203000,https://www.wikidata.org/wiki/Q1265921,56.39527778,-3.431666667
Dunkeld,Coupar Angus,K,https://www.wikidata.org/wiki/Q1265921,https://www.wikidata.org/wiki/Q1011681,56.55833333,-3.583333333
Coupar Angus,Coupar Angus,K,https://www.wikidata.org/wiki/Q1011681,NA,56.546425,-3.266958
Dundee,Forfar,L,https://www.wikidata.org/wiki/Q123709,https://www.wikidata.org/wiki/Q996509,56.464,-2.97
Forfar,Kirriemuir,L,https://www.wikidata.org/wiki/Q996509,https://www.wikidata.org/wiki/Q1011603,56.64305556,-2.89
Kirriemuir,Kirriemuir,L,https://www.wikidata.org/wiki/Q1011603,NA,56.66921111,-3.0051
Montrose,Brechin,M,https://www.wikidata.org/wiki/Q420303,https://www.wikidata.org/wiki/Q45848,56.70805556,-2.605833333
Brechin,Brechin,M,https://www.wikidata.org/wiki/Q45848,NA,56.73,-2.655277778
Edinburgh,Haddington,N,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q2281658,55.95,-3.198888889
Haddington,Dunbar,N,https://www.wikidata.org/wiki/Q2281658,https://www.wikidata.org/wiki/Q1002133,55.958,-2.774
Dunbar,Berwick-upon-Tweed,N,https://www.wikidata.org/wiki/Q1002133,https://www.wikidata.org/wiki/Q504678,55.99833333,-2.522777778
Berwick-upon-Tweed,Duns,N,https://www.wikidata.org/wiki/Q504678,https://www.wikidata.org/wiki/Q425611,55.76666667,-2
Duns,Greenlaw,N,https://www.wikidata.org/wiki/Q425611,https://www.wikidata.org/wiki/Q1011691,55.7784,-2.3426
Greenlaw,Coldstream,N,https://www.wikidata.org/wiki/Q1011691,https://www.wikidata.org/wiki/Q1018874,55.7,-2.466666667
Coldstream,Kelso,N,https://www.wikidata.org/wiki/Q1018874,https://www.wikidata.org/wiki/Q654945,55.65361111,-2.263888889
Kelso,Melrose,N,https://www.wikidata.org/wiki/Q654945,https://www.wikidata.org/wiki/Q632993,55.58333333,-2.416666667
Melrose,Jedburgh,N,https://www.wikidata.org/wiki/Q632993,https://www.wikidata.org/wiki/Q1012401,55.58333333,-2.716666667
Jedburgh,Jedburgh,N,https://www.wikidata.org/wiki/Q1012401,NA,55.63333333,-2.533333333
Edinburgh,Lauder,O,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1017204,55.95,-3.198888889
Lauder,Melrose,O,https://www.wikidata.org/wiki/Q1017204,https://www.wikidata.org/wiki/Q632993,55.7194,-2.74855
Melrose,Selkirk,O,https://www.wikidata.org/wiki/Q632993,https://www.wikidata.org/wiki/Q772507,55.58333333,-2.716666667
Selkirk,Selkirk,O,https://www.wikidata.org/wiki/Q772507,NA,55.53333333,-2.833333333
Edinburgh,Selkirk,P,https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q772507,55.95,-3.198888889
Selkirk,Hawick,P,https://www.wikidata.org/wiki/Q772507,https://www.wikidata.org/wiki/Q407183,55.53333333,-2.833333333
Hawick,Jedburgh,P,https://www.wikidata.org/wiki/Q407183,https://www.wikidata.org/wiki/Q1012401,55.42472222,-2.784444444
Jedburgh,Jedburgh,P,https://www.wikidata.org/wiki/Q1012401,NA,55.63333333,-2.533333333
