Name,Label,URL,Latitude,Longitude
"""all beyond Inverness""",,,NA,NA
"""all places beyond seas""",,,NA,NA
"""all the west of England""",,,NA,NA
"""Continent of Europe""",Europe,https://www.wikidata.org/wiki/Q46,46,7
"""in the trade of Clyde"": nice list of steam vessels and destinations, but not frequencies, starting on page image 428",Clyde,https://www.wikidata.org/wiki/Q19721,55.714735,-4.982529
"""other ports in the United States""",United States of America,https://www.wikidata.org/wiki/Q30,40,-100
"""South of Ireland""",,,NA,NA
Aberbrothwick,Arbroath,https://www.wikidata.org/wiki/Q630668,56.56138611,-2.585705556
Abercharder,Aberchalder,https://www.wikidata.org/wiki/Q3431722,57.0901,-4.74033
Aberdeen,Aberdeen,https://www.wikidata.org/wiki/Q36405,57.15,-2.1
Aberdour,Aberdour,https://www.wikidata.org/wiki/Q2014221,56.0528,-3.3021
Aberfeldy,Aberfeldy,https://www.wikidata.org/wiki/Q319566,56.6181,-3.8655
Aberfoyle,Aberfoyle,https://www.wikidata.org/wiki/Q2746326,56.179,-4.385
Abergeldie,Abergeldie Castle,https://www.wikidata.org/wiki/Q319583,57.0433,-3.17647
Aberlady,Aberlady,https://www.wikidata.org/wiki/Q1010412,56.01,-2.86
Aberlour,Charlestown of Aberlour,https://www.wikidata.org/wiki/Q1010405,57.4746,-3.21676
Abernethy,Abernethy,https://www.wikidata.org/wiki/Q744726,56.32649167,-3.310927778
Abernyte,Abernyte,https://www.wikidata.org/wiki/Q4667159,56.4671,-3.20588
Abington,Abington,https://www.wikidata.org/wiki/Q4667858,55.4936,-3.68723
Aboyne,Aboyne,https://www.wikidata.org/wiki/Q323196,57.0766,-2.77949
Achnacraig,Isle of Mull,https://www.wikidata.org/wiki/Q111444,56.45,-6
Adie,,,NA,NA
Ainwick,Alnwick Castle,https://www.wikidata.org/wiki/Q1320427,55.415783,-1.706078
Air,Ayr,https://www.wikidata.org/wiki/Q654216,55.46388889,-4.627777778
Airdrie,Airdriehill,https://www.wikidata.org/wiki/Q4698616,55.8831,-3.95222
Airly,"Airlie, Angus",https://www.wikidata.org/wiki/Q4698735,56.6493,-3.12362
Airth,Airth,https://www.wikidata.org/wiki/Q1012333,56.067,-3.776
Alexandria,Alexandria,https://www.wikidata.org/wiki/Q1240659,55.98,-4.58
Alford,Alford,https://www.wikidata.org/wiki/Q2638187,57.23,-2.71
all Ireland,Ireland,https://www.wikidata.org/wiki/Q27,53,-8
All parts of the Firth of Clyde,Firth of Clyde,https://www.wikidata.org/wiki/Q35654,55.66666667,-5
all West of Scotland,,,NA,NA
Allanton,"Allanton, North Lanarkshire",https://www.wikidata.org/wiki/Q3440604,55.79,-3.83
Allea,Alloa,https://www.wikidata.org/wiki/Q1009331,56.11666667,-3.8
Alloa,Alloa,https://www.wikidata.org/wiki/Q1009331,56.11666667,-3.8
Alloa & Alva,Alloa,https://www.wikidata.org/wiki/Q1009331,56.11666667,-3.8
